Krant	veel	zich	zou	al	door	aan	heeft	mensen	tegen	we	wat	was	er	wel	kan	maar	zo	ze	meer	ik	die	dit	ook	werd	je	volgens	deze	naar	worden	kunnen	bij	dan	jaar	uit	over	tot	geen	n	nu	hun	hebben	om	of	als	hij	moeten	niet	moet	wordt	nog
Kasper van Kooten komt met eerste romanTue, 05 Jul 2011 08:01:00 GMT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0
'De Jager en Merkel hypocriet halsstarrig bij overleg Griekenland'Sun, 17 Jul 2011 18:59:00 GMT	1	1	0	1	0	4	1	0	1	1	2	0	2	1	1	2	0	1	1	0	1	2	1	0	0	1	1	1	0	0	2	2	0	2	3	0	2	1	2	2	1	4	1	1	3	3	3	0	1	4
Vrouwen Twente in BeNe SuperCup tegen StandardTue, 19 Jul 2011 10:00:00 GMT	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0
Aidsremmers helpen ook besmetting voorkomenWed, 13 Jul 2011 13:03:00 GMT	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	1	2	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0
Mertens: Over 5 jaar is België beter dan OranjeTue, 19 Jul 2011 08:43:00 GMT	0	0	0	0	1	0	0	0	0	5	0	0	3	1	0	4	0	0	1	2	0	0	0	0	0	1	0	0	0	1	1	1	2	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	3
Rutte voedt het dédain over politici met plan kleiner parlementThu, 14 Jul 2011 07:43:00 GMT	0	0	2	1	4	1	1	0	1	0	0	1	2	0	1	5	1	0	1	0	6	1	4	0	0	2	0	3	3	2	0	1	0	2	1	1	0	3	3	2	1	4	1	2	0	0	3	2	3	1
De horror van Sant'Anna (1)Mon, 11 Jul 2011 21:30:00 GMT	0	0	2	0	2	2	0	1	1	1	0	7	2	0	0	2	0	6	3	8	9	0	1	1	2	0	2	4	1	0	1	1	3	3	3	1	2	0	1	0	0	1	1	0	2	0	1	0	1	1
Keith Bakker doet 9 keer aangifte van valse aangifteFri, 15 Jul 2011 16:17:00 GMT	0	1	0	1	3	0	6	0	5	1	0	0	1	0	1	0	1	0	0	1	4	1	3	0	0	2	1	1	1	0	1	1	0	0	2	1	0	1	0	0	4	1	0	1	2	0	3	0	1	0
'Gedraal rond euro trekt aasgieren aan'Sat, 16 Jul 2011 05:00:00 GMT	1	1	1	0	4	6	1	0	1	6	0	0	5	0	3	6	1	5	3	0	7	1	1	0	0	0	4	3	5	1	2	4	0	1	4	1	3	4	4	6	4	4	1	2	1	2	4	3	6	2
'Geen zwarte maandag voor Spaanse banken'Sun, 17 Jul 2011 16:25:00 GMT	0	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	2	1	0	1	1	1	0	0	0	0	1	0	0	0
Gezocht: protestants ritueel bij het levenseindeMon, 18 Jul 2011 11:54:00 GMT	0	3	1	0	1	10	2	1	0	1	0	0	5	3	3	4	1	3	0	0	5	3	2	0	0	3	1	1	0	0	7	2	1	0	4	4	2	3	0	2	2	12	9	9	2	1	10	2	4	1
'Donaties via Nudoneren.nl wél voor goed doel'Sat, 16 Jul 2011 06:09:00 GMT	0	0	5	1	1	3	1	2	1	0	0	2	0	1	0	0	0	0	0	0	6	3	2	1	0	3	0	4	2	0	0	0	0	2	2	2	0	0	2	2	3	4	1	2	0	0	4	0	0	1
Loslaten van werk op vakantie blijkt lastigWed, 13 Jul 2011 11:55:00 GMT	1	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	2	0	2	0	1	1	0	0	1	1	1	2	1	0	1	0	0	0	0	1	0
Schrijver Heere Heeresma (79) overledenSun, 26 Jun 2011 14:08:00 GMT	0	1	0	1	2	1	1	0	1	0	0	0	2	0	0	1	0	0	0	0	2	0	4	0	0	0	1	2	0	0	1	1	1	2	1	1	0	1	0	0	0	0	2	2	6	0	0	0	0	0
Vijfde wereldtitel China bij schoonspringenTue, 19 Jul 2011 07:25:00 GMT	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1
Israël vaart geënterde Gazaboot naar haven AshdodTue, 19 Jul 2011 08:29:00 GMT	0	1	1	4	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	1	0	2	0	0	1	0	0	0	0	2	1	0	1	2	4	0	0	0	0	0	1	0	1	0
